source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
acciarini2021,Kessler: A Machine Learning Library for Spacecraft Collision Avoidance,"Giacomo Acciarini, Francesco Pinto, Francesca Letizia, Jose A. Martinez-Heras, Klaus Merz, Christopher Bridges, Atilim Gunes Baydin",2021,conference-paper,8th European Conference on Space Debris (2021),https://conference.sdo.esoc.esa.int/proceedings/sdc8/paper/226/SDC8-paper226.pdf,data/raw/acciarini2021.pdf,data/processed/acciarini2021_chunked.md,conference-paper; collision-avoidance; machine-learning,ML library for spacecraft collision avoidance; provides systematic framework and evaluation methodology for CA decision-making using ESA CDM data.
catulo2023,Predicting the Probability of Collision of a Satellite with Space Debris: A Bayesian Machine Learning Approach,"Joao Simoes Catulo, Claudia Soares, Marta Guimaraes",2023,peer-reviewed,74th International Astronautical Congress (IAC 2023) / arXiv:2311.10633,https://doi.org/10.48550/arXiv.2311.10633,data/raw/catulo2023.pdf,data/processed/catulo2023_chunked.md,peer-reviewed; collision-avoidance; uncertainty-quantification; machine-learning,Bayesian ML approach for collision probability prediction using CDM sequences; demonstrates Markov property of CDMs and uses Hidden Markov Models for risk estimation.
massimi2024,Deep Learning-Based Space Debris Detection for Space Situational Awareness: A Feasibility Study Applied to Radar Processing,"Federica Massimi, Pasquale Ferrara, Roberto Petrucci, Francesco Benedetto",2024,peer-reviewed,"IET Radar, Sonar & Navigation (2024)",https://doi.org/10.1049/rsn2.12547,data/raw/massimi2024.pdf,data/processed/massimi2024_chunked.md,peer-reviewed; debris-environment; detection-tracking; machine-learning,"Feasibility study of deep learning for debris detection in radar data; reveals challenges with noise, clutter, and generalization across different radar configurations."
uriot2022,Spacecraft Collision Avoidance Challenge: Design and Results of a Machine Learning Competition,"Thomas Uriot, Dario Izzo, Luis F. Simoes, Rasit Abay, Nils Einecke, Sven Rebhan, Jose Martinez-Heras, Francesca Letizia, Jan Siminski, Klaus Merz",2022,peer-reviewed,"Astrodynamics, Vol. 6, No. 2, pp. 121-140 (Springer)",https://doi.org/10.1007/s42064-021-0101-5,data/raw/uriot2022.pdf,data/processed/uriot2022_chunked.md,peer-reviewed; collision-avoidance; policy-operational; machine-learning,"ESA ML competition for CA using CDM data; documents competition design, winning approaches, and key challenges including data imbalance and operationalization gaps."
mashiku2025,NASA CARA Compendium for Artificial Intelligence and Machine Learning for Satellite Collision Avoidance,"Alinda K. Mashiku, Lauri K. Newman, Dolan E. Highsmith",2025,technical-report,AMOS Conference 2025,https://ntrs.nasa.gov/citations/20250002065,data/raw/mashiku2025.pdf,data/processed/mashiku2025_chunked.md,technical-report; orbit-prediction; policy-operational; machine-learning,"Comprehensive NASA evaluation of ML/AI for CA using 450K+ CDMs; concludes ML has not shown operational promise due to class imbalance, stochastic orbital mechanics, data scarcity, and explainability gaps."
nasa_ca_handbook2023,NASA Spacecraft Conjunction Assessment and Collision Avoidance Best Practices Handbook (Rev 1),NASA Office of the Chief Engineer,2023,technical-report,NASA Special Publication (SP-20230002470 Rev 1),https://ntrs.nasa.gov/citations/20230002470,data/raw/nasa_ca_handbook2023.pdf,data/processed/nasa_ca_handbook2023_chunked.md,technical-report; policy-operational; machine-learning,"Authoritative handbook on operational CA practices; documents TLE limitations, covariance realism challenges, and decision-making frameworks that ML systems must integrate with. Rev 1 incorporates NPR 8079.1."
esa_environment2025,ESA's Annual Space Environment Report,ESA Space Debris Office,2025,technical-report,ESA Space Debris Office (GEN-DB-LOG-00288-OPS-SD Issue/Revision 9.1),https://www.sdo.esoc.esa.int/environment_report/Space_Environment_Report_latest.pdf,data/raw/esa_environment2025.pdf,data/processed/esa_environment2025_chunked.md,technical-report; debris-environment; uncertainty-quantification; machine-learning,Documents current debris population statistics (1M+ objects >1cm); quantifies catalog incompleteness and environment modeling uncertainty that directly affects ML training data quality.
iadc_status2025,IADC Report on the Status of the Space Debris Environment,Inter-Agency Space Debris Coordination Committee (IADC),2025,technical-report,IADC / UN COPUOS STSC (A/AC.105/C.1/2026/CRP.10),https://www.unoosa.org/oosa/oosadoc/data/documents/2026/aac.105c.12026crp/aac.105c.12026crp.10_0.html,data/raw/iadc_status2025.pdf,data/processed/iadc_status2025_chunked.md,technical-report; debris-environment; machine-learning,"International consensus report on debris environment; documents fragmentation events, mitigation compliance rates, and modeling discrepancies between agencies that affect ML dataset reliability."
survey_ml_rso2024,Survey Mode: A Review of Machine Learning in Resident Space Object Detection and Characterization,"Konstantinos Tsaprailis, George Choumos, Vaios Lappas, Charalampos Kontoes",2024,conference-paper,AIAA SciTech Forum 2024 (AIAA 2024-2065),https://doi.org/10.2514/6.2024-2065,data/raw/survey_ml_rso2024.pdf,data/processed/survey_ml_rso2024_chunked.md,conference-paper; detection-tracking; machine-learning; survey,"Comprehensive survey of ML methods for space surveillance and tracking; covers detection, classification, and characterization approaches with analysis of current limitations."
survey_ml_orbit2024,Machine Learning in Orbit Estimation: A Survey,"Francisco Caldas, Claudia Soares",2024,peer-reviewed,"Acta Astronautica, Vol. 220, pp. 97-107 (Elsevier)",https://doi.org/10.1016/j.actaastro.2024.03.072,data/raw/survey_ml_orbit2024.pdf,data/processed/survey_ml_orbit2024_chunked.md,peer-reviewed; orbit-prediction; uncertainty-quantification; machine-learning; survey,"Reviews ML techniques for orbit determination, prediction, and uncertainty propagation; covers EKF/UKF limitations and how ML approaches handle non-linear dynamics."
rand_ai_ssa2024,Artificial Intelligence and Machine Learning for Space Domain Awareness: The Development of Two Artificial Intelligence Case Studies,"Jonathan Tran, Prateek Puri, Jordan Logue, Anthony Jacques, Li Ang Zhang, Krista Langeland, George Nacouzi, Gary J. Briggs",2024,technical-report,RAND Research Report (RR-A2318-2),https://doi.org/10.7249/RRA2318-2,data/raw/rand_ai_ssa2024.pdf,data/processed/rand_ai_ssa2024_chunked.md,technical-report; detection-tracking; policy-operational; machine-learning,"RAND analysis of AI/ML for SDA operations; addresses UQ needs, operator trust barriers, policy implications, and the gap between research prototypes and operational deployment."
peng2018,Artificial Neural Network-Based Machine Learning Approach to Improve Orbit Prediction Accuracy,"Hao Peng, Xiaoli Bai",2018,peer-reviewed,"Journal of Spacecraft and Rockets, Vol. 55, No. 5 (AIAA)",https://doi.org/10.2514/1.A34171,data/raw/peng2018.pdf,data/processed/peng2018_chunked.md,peer-reviewed; orbit-prediction; machine-learning,Investigates ANN for improving orbit prediction using simulated catalog data; demonstrates data quality impacts on ML performance and generalization challenges across different RSOs.
precise_orbit_ml2024,Precise and Efficient Orbit Prediction in LEO with Machine Learning using Exogenous Variables,"Francisco Caldas, Claudia Soares",2024,conference-paper,IEEE Congress on Evolutionary Computation (CEC 2024),https://doi.org/10.1109/CEC60901.2024.10611996,data/raw/precise_orbit_ml2024.pdf,data/processed/precise_orbit_ml2024_chunked.md,conference-paper; orbit-prediction; uncertainty-quantification; machine-learning,Proposes ML orbit prediction using exogenous atmospheric variables; demonstrates SGP4 limitations and how atmospheric drag uncertainty propagates through ML predictions.
he2024,Expandable Orbit Decay Prediction Using Continual Learning,"Junhua He, Hua Wang, Haitao Wang, Xuankun Fang, Chengyi Huo",2024,peer-reviewed,International Journal of Aerospace Engineering (Wiley),https://doi.org/10.1155/2024/8887634,data/raw/he2024.pdf,data/processed/he2024_chunked.md,peer-reviewed; orbit-prediction; uncertainty-quantification; machine-learning,Addresses catastrophic forgetting in ML for orbit decay prediction using continual learning (EWC); demonstrates how physical parameter uncertainty limits traditional and ML-based approaches.
licata2022,Uncertainty Quantification Techniques for Data-Driven Space Weather Modeling: Thermospheric Density Application,"Richard J. Licata, Piyush M. Mehta",2022,peer-reviewed,"Scientific Reports, 12:7256 (Nature)",https://doi.org/10.1038/s41598-022-11049-3,data/raw/licata2022.pdf,data/processed/licata2022_chunked.md,peer-reviewed; collision-avoidance; uncertainty-quantification,Develops MC dropout and direct probability distribution prediction for thermospheric density UQ; directly relevant to satellite drag and collision probability computation in LEO.
vanslette2024,Rapid and Uncertainty Quantified Orbital Propagation Using Uncertainty-Aware AI,"Kevin Vanslette, Austen Lay, Daniel Kusterer, Kris Schroeder",2024,conference-paper,AMOS Conference 2024,https://amostech.com/TechnicalPapers/2024/Machine-Learning-for-SDA/Vanslette.pdf,data/raw/vanslette2024.pdf,data/processed/vanslette2024_chunked.md,conference-paper; orbit-prediction; detection-tracking; uncertainty-quantification; machine-learning,Demonstrates uncertainty-aware deep neural networks for orbital propagation with 1000x speedup over Orekit; shows well-calibrated covariance predictions for outlier detection.
aldahoul2022,RGB-D Based Multi-Modal Deep Learning for Spacecraft and Debris Recognition,"Nouar AlDahoul, Hezerul Abdul Karim, Mhd Adel Momo",2022,peer-reviewed,"Scientific Reports, 12:3924 (Nature)",https://doi.org/10.1038/s41598-022-07846-5,data/raw/aldahoul2022.pdf,data/processed/aldahoul2022_chunked.md,peer-reviewed; detection-tracking; machine-learning,Multi-modal deep learning for space object classification combining RGB and depth data; achieves 85% accuracy but reveals challenges with diverse sensing conditions and object sizes.
mocat_ml2024,Towards a Machine Learning-Based Approach to Predict Space Object Density Distributions,"Victor Rodriguez-Fernandez, Sumiyajav Sarangerel, Peng Mun Siew, Pablo Machuca, Daniel Jang, Richard Linares",2024,conference-paper,AIAA SciTech Forum 2024 / arXiv:2401.04212,https://doi.org/10.2514/6.2024-1673,data/raw/mocat_ml2024.pdf,data/processed/mocat_ml2024_chunked.md,conference-paper; debris-environment; orbit-prediction; machine-learning,"Uses autoencoders, RNNs, and transformers to predict space object density evolution; identifies challenges with long-term forecasting, generalization to unseen scenarios, and artifact generation."
newman2022,Conjunction Assessment: NASA Best Practices and Lessons Learned,"Lauri K. Newman, Alinda K. Mashiku, Daniel E. Oltrogge",2022,conference-paper,AMOS Conference 2022,https://ntrs.nasa.gov/citations/20220013191,data/raw/newman2022.pdf,data/processed/newman2022_chunked.md,conference-paper; detection-tracking; policy-operational; machine-learning,"Documents operational lessons from NASA CA program; covers TLE limitations, trackability requirements, coordination challenges, and gaps ML must address for operational integration."
liou2008,Instability of the Present LEO Satellite Populations,"J.-C. Liou, N.L. Johnson",2008,peer-reviewed,"Advances in Space Research, Vol. 41, No. 7, pp. 1046-1053 (Elsevier)",https://doi.org/10.1016/j.asr.2007.04.081,data/raw/liou2008.pdf,data/processed/liou2008_chunked.md,peer-reviewed; collision-avoidance; debris-environment; detection-tracking; machine-learning,"Modern validation of Kessler Syndrome using NASA LEGEND model with 150 Monte Carlo runs; demonstrates that even with no future launches, LEO debris population will grow through collisions â€” establishes the self-sustaining instability that motivates ML-based tracking and prediction systems."
